Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
2021,Regional Final,51,49,2,11,UCLA,1,Michigan
2018,Regional Final,78,62,16,11,Loyola (IL),9,Kansas State
2017,Regional Final,77,70,7,7,South Carolina,4,Florida
2016,Regional Final,68,62,6,10,Syracuse,1,Virginia
2015,Regional Final,76,70,6,7,Michigan State,4,Louisville
2014,Regional Final,75,72,3,8,Kentucky,2,Michigan
2014,Regional Final,60,54,6,7,UConn,4,Michigan State
2013,Regional Final,70,66,4,9,Wichita State,2,Ohio State
2011,Regional Final,71,61,10,11,VCU,1,Kansas
2011,Regional Final,74,71,3,8,Butler,2,Florida
2006,Regional Final,86,84,2,11,George Mason,1,UConn
2000,Regional Final,59,55,4,8,UNC,7,Tulsa
2000,Regional Final,64,60,4,8,Wisconsin,6,Purdue
1992,Regional Final,75,71,4,6,Michigan,1,Ohio State
1988,Regional Final,71,58,13,6,Kansas,4,Kansas State
1987,Regional Final,88,73,15,6,Providence,1,Georgetown
1986,Regional Final,59,57,2,11,LSU,1,Kentucky
1985,Regional Final,56,44,12,8,Villanova,2,UNC
2019,Regional Final,77,71,6,5,Auburn,2,Kentucky
2010,Regional Final,63,56,7,5,Butler,2,Kansas State
2005,Regional Final,94,88,6,5,Michigan State,2,Kentucky
2000,Regional Final,77,65,12,5,Florida,3,Oklahoma State
1996,Regional Final,73,63,10,5,Mississippi State,2,Cincinnati
2013,Regional Final,79,59,20,4,Michigan,3,Florida
2013,Regional Final,55,39,16,4,Syracuse,3,Marquette
2011,Regional Final,76,69,7,4,Kentucky,2,UNC
2006,Regional Final,70,60,10,4,LSU,2,Texas
1999,Regional Final,77,74,3,4,Ohio State,3,St. John's (NY)
1996,Regional Final,60,57,3,4,Syracuse,2,Kansas
1995,Regional Final,68,54,14,4,Oklahoma State,2,UMass
2019,Regional Final,75,69,6,3,Texas Tech,1,Gonzaga
2017,Regional Final,74,60,14,3,Oregon,1,Kansas
2009,Regional Final,78,76,2,3,Villanova,1,Pitt
2006,Regional Final,75,62,13,3,Florida,1,Villanova
2003,Regional Final,63,47,16,3,Syracuse,1,Oklahoma
2003,Regional Final,83,69,14,3,Marquette,1,Kentucky
2001,Regional Final,87,73,14,3,Maryland,1,Stanford
1998,Regional Final,76,51,25,3,Utah,1,Arizona
1991,Regional Final,93,81,12,3,Kansas,1,Arkansas
1990,Regional Final,79,78,1,3,Duke,1,UConn
2019,Regional Final,68,67,1,2,Michigan State,1,Duke
2016,Regional Final,64,59,5,2,Villanova,1,Kansas
2016,Regional Final,80,68,12,2,Oklahoma,1,Oregon
2014,Regional Final,64,63,1,2,Wisconsin,1,Arizona
2012,Regional Final,80,67,13,2,Kansas,1,UNC
2012,Regional Final,77,70,7,2,Ohio State,1,Syracuse
2010,Regional Final,73,66,7,2,West Virginia,1,Kentucky
2009,Regional Final,64,52,12,2,Michigan State,1,Louisville
2007,Regional Final,96,84,12,2,Georgetown,1,UNC
2007,Regional Final,68,55,13,2,UCLA,1,Kansas
2006,Regional Final,50,45,5,2,UCLA,1,Memphis
2004,Regional Final,64,62,2,2,Oklahoma State,1,St. Joseph's
2003,Regional Final,78,75,3,2,Kansas,1,Arizona
2001,Regional Final,87,81,6,2,Arizona,1,Illinois
1998,Regional Final,86,84,2,2,Kentucky,1,Duke
1995,Regional Final,74,61,13,2,UNC,1,Kentucky
1994,Regional Final,69,60,9,2,Duke,1,Purdue
1994,Regional Final,92,72,20,2,Arizona,1,Missouri
1993,Regional Final,83,77,6,2,Kansas,1,Indiana
1992,Regional Final,106,79,27,2,Indiana,1,UCLA
1989,Regional Final,85,77,8,2,Duke,1,Georgetown
1988,Regional Final,63,53,10,2,Duke,1,Temple
1987,Regional Final,79,75,4,2,Syracuse,1,UNC
1985,Regional Final,63,61,2,2,Memphis,1,Oklahoma
