Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
2014,National Semifinal,63,53,10,7,UConn,1,Florida
2014,National Semifinal,74,73,1,8,Kentucky,2,Wisconsin
1992,National Semifinal,76,72,4,6,Michigan,4,Cincinnati
1988,National Semifinal,66,59,7,6,Kansas,2,Duke
1985,National Semifinal,52,45,7,8,Villanova,2,Memphis
2002,National Semifinal,73,64,9,5,Indiana,2,Oklahoma
1997,National Semifinal,66,58,8,4,Arizona,1,UNC
2019,National Semifinal,61,51,10,3,Texas Tech,2,Michigan State
2004,National Semifinal,67,65,2,3,Georgia Tech,2,Oklahoma State
2003,National Semifinal,95,84,11,3,Syracuse,1,Texas
1998,National Semifinal,65,59,6,3,Utah,1,UNC
1991,National Semifinal,79,73,6,3,Kansas,1,UNC
1989,National Semifinal,83,81,2,3,Michigan,1,Illinois
1989,National Semifinal,95,78,17,3,Seton Hall,2,Duke
2009,National Semifinal,82,73,9,2,Michigan State,1,UConn
2004,National Semifinal,79,78,1,2,UConn,1,Duke
2001,National Semifinal,80,61,19,2,Arizona,1,Michigan State
1991,National Semifinal,79,77,2,2,Duke,1,UNLV
