Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
2021,Second Round,81,78,3,15,Oral Roberts,7,Florida
2013,Second Round,76,74,2,13,La Salle,12,Ole Miss
2013,Second Round,81,71,10,15,Florida Gulf Coast,7,San Diego State
2012,Second Round,62,56,6,13,Ohio,12,South Florida
2006,Second Round,72,66,6,13,Bradley,5,Pitt
1999,Second Round,85,72,13,13,Oklahoma,5,Charlotte
1998,Second Round,83,77,6,13,Valparaiso,12,Florida State
1997,Second Round,75,63,12,14,Chattanooga,6,Illinois
1988,Second Round,59,55,4,13,Richmond,5,Georgia Tech
1986,Second Round,75,69,6,14,Cleveland State,6,St. Joseph's
2021,Second Round,80,70,10,12,Oregon State,4,Oklahoma State
2013,Second Round,74,57,17,12,Oregon,4,Saint Louis
2010,Second Round,87,69,18,12,Cornell,4,Wisconsin
2005,Second Round,83,75,8,12,Milwaukee,4,Boston College
2003,Second Round,79,71,8,12,Butler,4,Louisville
2002,Second Round,83,67,16,12,Missouri,4,Ohio State
1999,Second Round,81,51,30,12,Missouri State,4,Tennessee
1996,Second Round,65,56,9,12,Arkansas,4,Marquette
1994,Second Round,82,80,2,12,Tulsa,4,Oklahoma State
1990,Second Round,62,60,2,12,Ball State,4,Louisville
1987,Second Round,78,68,10,12,Wyoming,4,UCLA
1986,Second Round,74,69,5,12,DePaul,4,Oklahoma
1985,Second Round,64,61,3,12,Kentucky,4,UNLV
2021,Second Round,75,72,3,11,Syracuse,3,West Virginia
2018,Second Round,55,53,2,11,Syracuse,3,Michigan State
2018,Second Round,63,62,1,11,Loyola (IL),3,Tennessee
2017,Second Round,91,66,25,11,Xavier,3,Florida State
2016,Second Round,82,59,23,11,Gonzaga,3,Utah
2014,Second Round,55,53,2,11,Dayton,3,Syracuse
2012,Second Round,66,63,3,11,NC State,3,Georgetown
2011,Second Round,66,62,4,11,Marquette,3,Syracuse
2011,Second Round,94,76,18,11,VCU,3,Purdue
2010,Second Round,82,64,18,11,Washington,3,New Mexico
2006,Second Round,65,60,5,11,George Mason,3,UNC
2002,Second Round,77,75,2,11,Southern Illinois,3,Georgia
2001,Second Round,75,54,21,11,Temple,3,Florida
1990,Second Round,149,115,34,11,Loyola Marymount,3,Michigan
1988,Second Round,97,94,3,11,Rhode Island,3,Syracuse
1986,Second Round,83,81,2,11,LSU,3,Memphis
1985,Second Round,74,73,1,11,Boston College,3,Duke
1985,Second Round,66,64,2,11,Auburn,3,Kansas
2014,Second Round,60,57,3,10,Stanford,2,Kansas
2011,Second Round,71,57,14,10,Florida State,2,Notre Dame
2010,Second Round,75,68,7,10,Saint Mary's,2,Villanova
2008,Second Round,74,70,4,10,Davidson,2,Georgetown
2005,Second Round,65,62,3,10,NC State,2,UConn
2004,Second Round,91,72,19,10,Nevada,2,Gonzaga
2003,Second Round,68,62,6,10,Auburn,2,Wake Forest
2002,Second Round,71,58,13,10,Kent State,2,Alabama
2000,Second Round,67,65,2,10,Seton Hall,2,Temple
2000,Second Round,82,76,6,10,Gonzaga,2,St. John's (NY)
1999,Second Round,73,63,10,10,Purdue,2,Miami (FL)
1999,Second Round,66,58,8,10,Miami (OH),2,Utah
1999,Second Round,82,74,8,10,Gonzaga,2,Stanford
