Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
2021,Regional Semifinal,65,58,7,12,Oregon State,8,Loyola (IL)
2002,Regional Semifinal,82,73,9,12,Missouri,8,UCLA
2021,Regional Semifinal,88,78,10,11,UCLA,2,Alabama
2018,Regional Semifinal,69,68,1,11,Loyola (IL),7,Nevada
2017,Regional Semifinal,73,71,2,11,Xavier,2,Arizona
2014,Regional Semifinal,82,72,10,11,Dayton,10,Stanford
2011,Regional Semifinal,72,71,1,11,VCU,10,Florida State
2006,Regional Semifinal,63,55,8,11,George Mason,7,Wichita State
2001,Regional Semifinal,84,72,12,11,Temple,7,Penn State
1990,Regional Semifinal,62,60,2,11,Loyola Marymount,7,Alabama
1986,Regional Semifinal,70,64,6,11,LSU,2,Georgia Tech
2008,Regional Semifinal,73,56,17,10,Davidson,3,Wisconsin
2002,Regional Semifinal,78,73,5,10,Kent State,3,Pitt
1999,Regional Semifinal,73,72,1,10,Gonzaga,6,Florida
1991,Regional Semifinal,72,63,9,10,Temple,3,Oklahoma State
1990,Regional Semifinal,102,89,13,10,Texas,6,Xavier
1987,Regional Semifinal,63,58,5,10,LSU,3,DePaul
2018,Regional Semifinal,75,60,15,9,Florida State,4,Gonzaga
2018,Regional Semifinal,61,58,3,9,Kansas State,5,Kentucky
1994,Regional Semifinal,77,68,9,9,Boston College,5,Indiana
2014,Regional Semifinal,74,69,5,8,Kentucky,4,Louisville
2011,Regional Semifinal,61,54,7,8,Butler,4,Wisconsin
2004,Regional Semifinal,80,71,9,8,Alabama,5,Syracuse
2000,Regional Semifinal,74,69,5,8,UNC,4,Tennessee
2000,Regional Semifinal,61,48,13,8,Wisconsin,4,LSU
1986,Regional Semifinal,70,63,7,8,Auburn,4,UNLV
1985,Regional Semifinal,46,43,3,8,Villanova,5,Maryland
2017,Regional Semifinal,70,50,20,7,South Carolina,3,Baylor
2015,Regional Semifinal,62,58,4,7,Michigan State,3,Oklahoma
2014,Regional Semifinal,81,76,5,7,UConn,3,Iowa State
2012,Regional Semifinal,68,58,10,7,Florida,3,Marquette
2005,Regional Semifinal,65,60,5,7,West Virginia,6,Texas Tech
2004,Regional Semifinal,79,71,8,7,Xavier,3,Texas
2003,Regional Semifinal,60,58,2,7,Michigan State,6,Maryland
2000,Regional Semifinal,80,71,9,7,Tulsa,6,Miami (FL)
1993,Regional Semifinal,67,59,8,7,Temple,3,Vanderbilt
2010,Regional Semifinal,76,73,3,6,Tennessee,2,Ohio State
2001,Regional Semifinal,80,76,4,6,USC,2,Kentucky
1992,Regional Semifinal,75,72,3,6,Michigan,2,Oklahoma State
1990,Regional Semifinal,82,75,7,6,Minnesota,2,Syracuse
1988,Regional Semifinal,80,74,6,6,Villanova,2,Kentucky
1987,Regional Semifinal,103,82,21,6,Providence,2,Alabama
2019,Regional Semifinal,97,80,17,5,Auburn,1,UNC
2011,Regional Semifinal,93,77,16,5,Arizona,1,Duke
2010,Regional Semifinal,63,59,4,5,Butler,1,Syracuse
2005,Regional Semifinal,78,68,10,5,Michigan State,1,Duke
2002,Regional Semifinal,74,73,1,5,Indiana,1,Duke
2000,Regional Semifinal,87,78,9,5,Florida,1,Duke
1996,Regional Semifinal,60,55,5,5,Mississippi State,1,UConn
1989,Regional Semifinal,86,80,6,5,Virginia,1,Oklahoma
2014,Regional Semifinal,61,59,2,4,Michigan State,1,Virginia
2013,Regional Semifinal,87,85,2,4,Michigan,1,Kansas
2013,Regional Semifinal,61,50,11,4,Syracuse,1,Indiana
2012,Regional Semifinal,57,44,13,4,Louisville,1,Michigan State
2011,Regional Semifinal,62,60,2,4,Kentucky,1,Ohio State
2006,Regional Semifinal,62,54,8,4,LSU,1,Duke
2005,Regional Semifinal,93,79,14,4,Louisville,1,Washington
1999,Regional Semifinal,72,64,8,4,Ohio State,1,Auburn
1997,Regional Semifinal,85,82,3,4,Arizona,1,Kansas
1995,Regional Semifinal,71,66,5,4,Oklahoma State,1,Wake Forest
1995,Regional Semifinal,67,58,9,4,Virginia,1,Kansas
1991,Regional Semifinal,91,74,17,4,St. John's (NY),1,Ohio State
1990,Regional Semifinal,81,80,1,4,Georgia Tech,1,Michigan State
1989,Regional Semifinal,68,67,1,4,UNLV,1,Arizona
1988,Regional Semifinal,73,70,3,4,Kansas State,1,Purdue
2019,Regional Semifinal,63,44,19,3,Texas Tech,2,Michigan
2019,Regional Semifinal,99,94,5,3,Purdue,2,Tennessee
2018,Regional Semifinal,78,65,13,3,Texas Tech,2,Purdue
2013,Regional Semifinal,71,61,10,3,Marquette,2,Miami (FL)
2011,Regional Semifinal,74,67,7,3,UConn,2,San Diego State
2009,Regional Semifinal,77,54,23,3,Villanova,2,Duke
2009,Regional Semifinal,102,91,11,3,Missouri,2,Memphis
2008,Regional Semifinal,79,60,19,3,Louisville,2,Tennessee
2005,Regional Semifinal,79,78,1,3,Arizona,2,Oklahoma State
2003,Regional Semifinal,77,74,3,3,Marquette,2,Pitt
1999,Regional Semifinal,76,62,14,3,St. John's (NY),2,Maryland
1998,Regional Semifinal,67,59,8,3,Stanford,2,Purdue
1994,Regional Semifinal,69,60,9,3,Florida,2,UConn
1991,Regional Semifinal,81,77,4,3,Seton Hall,2,Arizona
1991,Regional Semifinal,83,65,18,3,Kansas,2,Indiana
1989,Regional Semifinal,92,87,5,3,Michigan,2,UNC
1989,Regional Semifinal,78,65,13,3,Seton Hall,2,Indiana
