R/GRank,HRRank,BARank,ERARank,WHIPRank,SO/WRank,Year,Team,R/G,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,W,L,W-L%,ERA,WHIP,SO/W
1,1,11,1,1,2,2020,LAD,5.82,60,2042,349,523,97,6,118,327,228,471,0.256,43,17,0.717,3.02,1.056,3.57
14,15,15,16,17,14,2020,LgAvg,4.65,60,1968,278,481,94,8,77,266,203,520,0.245,30,30,0.5,4.44,1.327,2.56
6,13,6,13,8,9,2019,WSN,5.39,162,5512,873,1460,298,27,231,824,584,1308,0.265,93,69,0.574,4.27,1.29,2.92
14,15,14,17,17,15,2019,LgAvg,4.83,162,5555,782,1401,284,26,226,749,530,1427,0.252,81,81,0.5,4.49,1.334,2.69
1,9,1,8,9,6,2018,BOS,5.41,162,5623,876,1509,355,31,208,829,569,1253,0.268,108,54,0.667,3.75,1.246,3.04
16,15,18,18,15,15,2018,LgAvg,4.45,162,5514,721,1367,275,28,186,687,523,1374,0.248,81,81,0.5,4.14,1.304,2.63
1,2,1,11,8,5,2017,HOU,5.53,162,5611,896,1581,346,20,238,854,509,1087,0.282,101,61,0.623,4.12,1.27,3.05
15,17,17,14,14,13,2017,LgAvg,4.65,162,5519,753,1407,280,27,204,719,528,1337,0.255,81,81,0.5,4.35,1.342,2.53
3,13,14,1,1,8,2016,CHC,4.99,162,5503,808,1409,293,30,199,767,656,1339,0.256,103,58,0.64,3.15,1.11,2.91
15,18,19,16,15,16,2016,LgAvg,4.48,162,5519,725,1409,275,29,187,692,503,1299,0.255,81,81,0.5,4.18,1.325,2.58
7,24,3,10,13,23,2015,KCR,4.47,162,5575,724,1497,300,42,139,689,383,973,0.269,95,67,0.586,3.73,1.282,2.37
17,15,12,14,14,15,2015,LgAvg,4.25,162,5516,688,1404,275,31,164,655,469,1248,0.254,81,81,0.5,3.95,1.294,2.66
12,17,10,10,3,5,2014,SFG,4.1,162,5523,665,1407,257,42,132,636,427,1245,0.255,88,74,0.543,3.5,1.169,3.11
13,15,17,18,18,14,2014,LgAvg,4.07,162,5520,659,1387,271,28,140,625,467,1248,0.251,81,81,0.5,3.74,1.275,2.67
1,6,2,14,15,17,2013,BOS,5.27,162,5651,853,1566,363,29,178,819,581,1308,0.277,97,65,0.599,3.79,1.3,2.47
15,17,15,17,15,14,2013,LgAvg,4.17,162,5536,675,1403,274,26,155,642,488,1224,0.253,81,81,0.5,3.86,1.3,2.51
12,30,5,7,13,14,2012,SFG,4.43,162,5558,718,1495,287,57,103,675,483,1097,0.269,94,68,0.58,3.68,1.275,2.53
17,16,15,17,20,15,2012,LgAvg,4.32,162,5508,701,1402,275,31,164,667,490,1214,0.255,81,81,0.5,4.01,1.309,2.48
5,13,5,12,15,8,2011,STL,4.7,162,5532,762,1513,308,22,162,726,542,978,0.273,90,72,0.556,3.74,1.306,2.45
17,19,15,16,18,13,2011,LgAvg,4.28,162,5524,694,1409,280,30,152,660,501,1150,0.255,81,81,0.5,3.94,1.316,2.3
17,11,15,1,4,9,2010,SFG,4.3,162,5488,697,1411,284,30,162,660,487,1099,0.257,92,70,0.568,3.36,1.271,2.3
17,14,16,16,15,13,2010,LgAvg,4.38,162,5512,710,1418,283,29,154,676,526,1144,0.257,81,81,0.5,4.07,1.347,2.17
1,1,2,12,8,9,2009,NYY,5.65,162,5660,915,1604,325,21,244,881,663,1014,0.283,103,59,0.636,4.26,1.352,2.2
15,14,15,15,17,19,2009,LgAvg,4.61,162,5528,747,1451,291,32,168,712,554,1120,0.262,81,81,0.5,4.31,1.39,2.02
9,2,24,6,12,16,2008,PHI,4.93,162,5509,799,1407,291,36,214,762,586,1117,0.255,92,70,0.568,3.88,1.364,2.03
16,17,14,16,20,17,2008,LgAvg,4.65,162,5557,753,1466,300,30,163,718,545,1096,0.264,81,81,0.5,4.32,1.391,2.01
4,18,6,2,2,5,2007,BOS,5.35,162,5589,867,1561,352,35,166,829,689,1042,0.279,96,66,0.593,3.87,1.273,2.38
16,19,15,16,16,15,2007,LgAvg,4.8,162,5593,777,1499,307,31,165,742,536,1073,0.268,81,81,0.5,4.46,1.406,2
14,12,15,16,12,18,2006,STL,4.85,161,5522,781,1484,292,27,184,745,531,922,0.269,83,78,0.516,4.54,1.384,1.92
14,15,16,15,15,17,2006,LgAvg,4.86,162,5578,787,1502,305,32,180,750,528,1055,0.269,81,81,0.5,4.52,1.408,2
