Year,Round,Seed,School,OpponentSeed,Opponent
2021,Regional Final,11,UCLA,1,Michigan
2018,Regional Final,11,Loyola (IL),9,Kansas State
2017,Regional Final,7,South Carolina,4,Florida
2016,Regional Final,10,Syracuse,1,Virginia
2015,Regional Final,7,Michigan State,4,Louisville
2014,Regional Final,8,Kentucky,2,Michigan
2014,Regional Final,7,UConn,4,Michigan State
2013,Regional Final,9,Wichita State,2,Ohio State
2011,Regional Final,11,VCU,1,Kansas
2011,Regional Final,8,Butler,2,Florida
2006,Regional Final,11,George Mason,1,UConn
2000,Regional Final,8,UNC,7,Tulsa
2000,Regional Final,8,Wisconsin,6,Purdue
1992,Regional Final,6,Michigan,1,Ohio State
1988,Regional Final,6,Kansas,4,Kansas State
1987,Regional Final,6,Providence,1,Georgetown
1986,Regional Final,11,LSU,1,Kentucky
1985,Regional Final,8,Villanova,2,UNC
2019,Regional Final,5,Auburn,2,Kentucky
2010,Regional Final,5,Butler,2,Kansas State
2005,Regional Final,5,Michigan State,2,Kentucky
2000,Regional Final,5,Florida,3,Oklahoma State
1996,Regional Final,5,Mississippi State,2,Cincinnati
2013,Regional Final,4,Michigan,3,Florida
2013,Regional Final,4,Syracuse,3,Marquette
2011,Regional Final,4,Kentucky,2,UNC
2006,Regional Final,4,LSU,2,Texas
1999,Regional Final,4,Ohio State,3,St. John's (NY)
1996,Regional Final,4,Syracuse,2,Kansas
1995,Regional Final,4,Oklahoma State,2,UMass
2019,Regional Final,3,Texas Tech,1,Gonzaga
2017,Regional Final,3,Oregon,1,Kansas
2009,Regional Final,3,Villanova,1,Pitt
2006,Regional Final,3,Florida,1,Villanova
2003,Regional Final,3,Syracuse,1,Oklahoma
2003,Regional Final,3,Marquette,1,Kentucky
2001,Regional Final,3,Maryland,1,Stanford
1998,Regional Final,3,Utah,1,Arizona
1991,Regional Final,3,Kansas,1,Arkansas
1990,Regional Final,3,Duke,1,UConn
2019,Regional Final,2,Michigan State,1,Duke
2016,Regional Final,2,Villanova,1,Kansas
2016,Regional Final,2,Oklahoma,1,Oregon
2014,Regional Final,2,Wisconsin,1,Arizona
2012,Regional Final,2,Kansas,1,UNC
2012,Regional Final,2,Ohio State,1,Syracuse
2010,Regional Final,2,West Virginia,1,Kentucky
2009,Regional Final,2,Michigan State,1,Louisville
2007,Regional Final,2,Georgetown,1,UNC
2007,Regional Final,2,UCLA,1,Kansas
2006,Regional Final,2,UCLA,1,Memphis
2004,Regional Final,2,Oklahoma State,1,St. Joseph's
2003,Regional Final,2,Kansas,1,Arizona
2001,Regional Final,2,Arizona,1,Illinois
1998,Regional Final,2,Kentucky,1,Duke
1995,Regional Final,2,UNC,1,Kentucky
1994,Regional Final,2,Duke,1,Purdue
1994,Regional Final,2,Arizona,1,Missouri
1993,Regional Final,2,Kansas,1,Indiana
1992,Regional Final,2,Indiana,1,UCLA
1989,Regional Final,2,Duke,1,Georgetown
1988,Regional Final,2,Duke,1,Temple
1987,Regional Final,2,Syracuse,1,UNC
1985,Regional Final,2,Memphis,1,Oklahoma
