Year,Round,Seed,School,OpponentSeed,Opponent
2022,National Semifinal,8,UNC,2,Duke
2014,National Semifinal,7,UConn,1,Florida
2014,National Semifinal,8,Kentucky,2,Wisconsin
1992,National Semifinal,6,Michigan,4,Cincinnati
1988,National Semifinal,6,Kansas,2,Duke
1985,National Semifinal,8,Villanova,2,Memphis
2002,National Semifinal,5,Indiana,2,Oklahoma
1997,National Semifinal,4,Arizona,1,UNC
2019,National Semifinal,3,Texas Tech,2,Michigan State
2004,National Semifinal,3,Georgia Tech,2,Oklahoma State
2003,National Semifinal,3,Syracuse,1,Texas
1998,National Semifinal,3,Utah,1,UNC
1991,National Semifinal,3,Kansas,1,UNC
1989,National Semifinal,3,Michigan,1,Illinois
1989,National Semifinal,3,Seton Hall,2,Duke
2009,National Semifinal,2,Michigan State,1,UConn
2004,National Semifinal,2,UConn,1,Duke
2001,National Semifinal,2,Arizona,1,Michigan State
1991,National Semifinal,2,Duke,1,UNLV
