Year,Round,Seed,School,OpponentSeed,Opponent
2022,First Round,15,Saint Peter's,2 ,Kentucky
2022,First Round,12,Richmond,5 ,Iowa
2022,First Round,12,New Mexico State,5 ,Uconn
2022,First Round,11,Iowa State,6 ,LSU
2022,First Round,11,Michigan,6 ,Colorado State
2022,First Round,11,Notre Dame,6 ,Alabama
2022,First Round,10,Miami,7 ,USC
2022,First Round,9 ,TCU,8 ,Seton Hall
2022,First Round,9 ,Memphis,8 ,Boise State
2022,First Round,9,Creighton,8 ,San Diego State
2021,First Round,11,UCLA,6 ,BYU
2021,First Round,13,Ohio,4 ,Virginia
2021,First Round,10,Maryland,7 ,UConn
2021,First Round,14,Abilene Christian,3 ,Texas
2021,First Round,9 ,Wisconsin,8 ,UNC
2021,First Round,11,Syracuse,6 ,San Diego State
2021,First Round,10,Rutgers,7 ,Clemson
2021,First Round,12,Oregon State,5 ,Tennessee
2021,First Round,15,Oral Roberts,2 ,Ohio State
2021,First Round,13,North Texas,4 ,Purdue
2019,First Round,9 ,Washington,8 ,Utah State
2019,First Round,12,Oregon,5 ,Wisconsin
2019,First Round,9 ,Oklahoma,8 ,Ole Miss
2019,First Round,11,Ohio State,6 ,Iowa State
2019,First Round,12,Liberty,5 ,Mississippi State
2019,First Round,10,Iowa,7 ,Cincinnati
2019,First Round,9 ,UCF,8 ,VCU
2019,First Round,13,UC-Irvine,4 ,Kansas State
2019,First Round,12,Murray State,5 ,Marquette
2019,First Round,10,Minnesota,7 ,Louisville
2019,First Round,10,Florida,7 ,Nevada
2019,First Round,9 ,Baylor,8 ,Syracuse
2018,First Round,11,Syracuse,6 ,TCU
2018,First Round,16,UMBC,1 ,Virginia
2018,First Round,13,Marshall,4 ,Wichita State
2018,First Round,9 ,Kansas State,8 ,Creighton
2018,First Round,9 ,Florida State,8 ,Missouri
2018,First Round,10,Butler,7 ,Arkansas
2018,First Round,11,Loyola (IL),6 ,Miami (FL)
2018,First Round,13,Buffalo,4 ,Arizona
2018,First Round,9 ,Alabama,8 ,Virginia Tech
2017,First Round,10,Wichita State,7 ,Dayton
2017,First Round,11,USC,6 ,SMU
2017,First Round,11,Rhode Island,6 ,Creighton
2017,First Round,9 ,Michigan State,8 ,Miami (FL)
2017,First Round,11,Xavier,6 ,Maryland
2017,First Round,12,Middle Tennessee State,5 ,Minnesota
2016,First Round,10, VCU,7 ,Oregon State
2016,First Round,10,Syracuse,7 ,Dayton
2016,First Round,14,Stephen F. Austin,3 ,West Virginia
2016,First Round,11,Northern Iowa,6 ,Texas
2016,First Round,15,Middle Tennessee State,2 ,Michigan State
2016,First Round,13,Hawaii,4 ,California
2016,First Round,12,Yale,5 ,Baylor
2016,First Round,11,Wichita State,6 ,Arizona
2016,First Round,9 ,Providence,8 ,USC
2016,First Round,11,Gonzaga,6 ,Seton Hall
2016,First Round,9 ,UConn,8 ,Colorado
2016,First Round,9 ,Butler,8 ,Texas Tech
2016,First Round,12,Little Rock,5 ,Purdue
2015,First Round,11,Dayton,6 ,Providence
2015,First Round,11,UCLA,6 ,SMU
2015,First Round,10,Ohio State,7 ,VCU
2015,First Round,14,Georgia State,3 ,Baylor
2015,First Round,14,Alabama-Birmingham,3 ,Iowa State
2014,First Round,11,Tennessee,6 ,UMass
2014,First Round,12,Stephen F. Austin,5 ,VCU
2014,First Round,10,Stanford,7 ,New Mexico
2014,First Round,14,Mercer,3 ,Duke
2014,First Round,9 ,Pitt,8 ,Colorado
2014,First Round,12,North Dakota State,5 ,Oklahoma
2014,First Round,12,Harvard,5 ,Cincinnati
2014,First Round,11,Dayton,6 ,Ohio State
2013,First Round,9 ,Temple,8 ,NC State
2013,First Round,12,Ole Miss,5 ,Wisconsin
2013,First Round,11,Minnesota,6 ,UCLA
2013,First Round,13,La Salle,4 ,Kansas State
2013,First Round,10,Iowa State,7 ,Notre Dame
2013,First Round,15,Florida Gulf Coast,2 ,Georgetown
2013,First Round,9 ,Wichita State,8 ,Pitt
2013,First Round,12,Oregon,5 ,Oklahoma State
2013,First Round,14,Harvard,3 ,New Mexico
2013,First Round,12,California,5 ,UNLV
2012,First Round,10,Xavier,7 ,Notre Dame
2012,First Round,12,South Florida,5 ,Temple
2012,First Round,9 ,Saint Louis,8 ,Memphis
2012,First Round,10,Purdue,7 ,Saint Mary's
2012,First Round,13,Ohio,4 ,Michigan
2012,First Round,11,NC State,6 ,San Diego State
2012,First Round,15,Norfolk State,2 ,Missouri
2012,First Round,15,Lehigh,2 ,Duke
2012,First Round,12,VCU,5 ,Wichita State
2012,First Round,11,Colorado,6 ,UNLV
2011,First Round,11,VCU,6 ,Georgetown
2011,First Round,11,Marquette,6 ,Xavier
2011,First Round,9 ,Illinois,8 ,UNLV
2011,First Round,10,Florida State,7 ,Texas A&M
2011,First Round,12,Richmond,5 ,Vanderbilt
2011,First Round,13,Morehead State,4 ,Louisville
2011,First Round,11,Gonzaga,6 ,St. John's (NY)
2010,First Round,10,Missouri,7 ,Clemson
2010,First Round,10,Georgia Tech,7 ,Oklahoma State
2010,First Round,12,Cornell,5 ,Temple
2010,First Round,11,Washington,6 ,Marquette
2010,First Round,9 ,Wake Forest,8 ,Texas
2010,First Round,10,Saint Mary's,7 ,Richmond
2010,First Round,11,Old Dominion,6 ,Notre Dame
2010,First Round,14,Ohio,3 ,Georgetown
2010,First Round,9 ,Northern Iowa,8 ,UNLV
2010,First Round,13,Murray State,4 ,Vanderbilt
2009,First Round,12,Arizona,5 ,Utah
2009,First Round,13,Cleveland State,4 ,Wake Forest
2009,First Round,11,Dayton,6 ,West Virginia
2009,First Round,10,USC,7 ,Boston College
2009,First Round,12,Wisconsin,5 ,Florida State
2009,First Round,9 ,Siena,8 ,Ohio State
2009,First Round,9 ,Texas A&M,8 ,BYU
2009,First Round,10,Maryland,7 ,California
2009,First Round,10,Michigan,7 ,Clemson
2009,First Round,12,Western Kentucky,5 ,Illinois
2008,First Round,12,Villanova,5 ,Clemson
2008,First Round,9 ,Arkansas,8 ,Indiana
2008,First Round,13,San Diego,4 ,UConn
2008,First Round,10,Davidson,7 ,Gonzaga
2008,First Round,12,Western Kentucky,5 ,Drake
2008,First Round,13,Siena,4 ,Vanderbilt
2008,First Round,9 ,Texas A&M,8 ,BYU
2008,First Round,11,Kansas State,6 ,USC
2007,First Round,11,Winthrop,6 ,Notre Dame
2007,First Round,9 ,Purdue,8 ,Arizona
2007,First Round,9 ,Xavier,8 ,BYU
2007,First Round,11,VCU,6 ,Duke
2007,First Round,9 ,Michigan State,8 ,Marquette
2006,First Round,13,Bradley,4 ,Kansas
2006,First Round,9 ,Bucknell,8 ,Arkansas
2006,First Round,11,George Mason,6 ,Michigan State
2006,First Round,10,NC State,7 ,California
2006,First Round,14,Northwestern State,3 ,Iowa
2006,First Round,10,Alabama,7 ,Marquette
2006,First Round,12,Texas A&M,5 ,Syracuse
2006,First Round,11,Milwaukee,6 ,Oklahoma
2006,First Round,12,Montana,5 ,Nevada
2005,First Round,14,Bucknell,3 ,Kansas
2005,First Round,13,Vermont,4 ,Syracuse
2005,First Round,9 ,Iowa State,8 ,Minnesota
2005,First Round,9 ,Mississippi State,8 ,Stanford
2005,First Round,10,NC State,7 ,Charlotte
2005,First Round,11,11 Alabama-Birmingham,6 ,LSU
2005,First Round,12,Milwaukee,5 ,Alabama
2005,First Round,9 ,Nevada,8 ,Texas
