Year,Round,Seed,School,OpponentSeed,Opponent
2022,Second Round,15,Saint Peter's,7,Murray State
2021,Second Round,15,Oral Roberts,7,Florida
2013,Second Round,13,La Salle,12,Ole Miss
2013,Second Round,15,Florida Gulf Coast,7,San Diego State
2012,Second Round,13,Ohio,12,South Florida
2006,Second Round,13,Bradley,5,Pitt
1999,Second Round,13,Oklahoma,5,Charlotte
1998,Second Round,13,Valparaiso,12,Florida State
1997,Second Round,14,Chattanooga,6,Illinois
1988,Second Round,13,Richmond,5,Georgia Tech
1986,Second Round,14,Cleveland State,6,St. Joseph's
2021,Second Round,12,Oregon State,4,Oklahoma State
2013,Second Round,12,Oregon,4,Saint Louis
2010,Second Round,12,Cornell,4,Wisconsin
2005,Second Round,12,Milwaukee,4,Boston College
2003,Second Round,12,Butler,4,Louisville
2002,Second Round,12,Missouri,4,Ohio State
1999,Second Round,12,Missouri State,4,Tennessee
1996,Second Round,12,Arkansas,4,Marquette
1994,Second Round,12,Tulsa,4,Oklahoma State
1990,Second Round,12,Ball State,4,Louisville
1987,Second Round,12,Wyoming,4,UCLA
1986,Second Round,12,DePaul,4,Oklahoma
1985,Second Round,12,Kentucky,4,UNLV
2022,Second Round,11,Iowa State,3,Wisconsin
2022,Second Round,11,Michigan,3,Tennessee
2021,Second Round,11,Syracuse,3,West Virginia
2018,Second Round,11,Syracuse,3,Michigan State
2018,Second Round,11,Loyola (IL),3,Tennessee
2017,Second Round,11,Xavier,3,Florida State
2016,Second Round,11,Gonzaga,3,Utah
2014,Second Round,11,Dayton,3,Syracuse
2012,Second Round,11,NC State,3,Georgetown
2011,Second Round,11,Marquette,3,Syracuse
2011,Second Round,11,VCU,3,Purdue
2010,Second Round,11,Washington,3,New Mexico
2006,Second Round,11,George Mason,3,UNC
2002,Second Round,11,Southern Illinois,3,Georgia
2001,Second Round,11,Temple,3,Florida
1990,Second Round,11,Loyola Marymount,3,Michigan
1988,Second Round,11,Rhode Island,3,Syracuse
1986,Second Round,11,LSU,3,Memphis
1985,Second Round,11,Boston College,3,Duke
1985,Second Round,11,Auburn,3,Kansas
2022,Second Round,10,Miami (FL),2,Auburn
2014,Second Round,10,Stanford,2,Kansas
2011,Second Round,10,Florida State,2,Notre Dame
2010,Second Round,10,Saint Mary's,2,Villanova
2008,Second Round,10,Davidson,2,Georgetown
2005,Second Round,10,NC State,2,UConn
2004,Second Round,10,Nevada,2,Gonzaga
2003,Second Round,10,Auburn,2,Wake Forest
2002,Second Round,10,Kent State,2,Alabama
2000,Second Round,10,Seton Hall,2,Temple
2000,Second Round,10,Gonzaga,2,St. John's (NY)
1999,Second Round,10,Purdue,2,Miami (FL)
1999,Second Round,10,Miami (OH),2,Utah
1999,Second Round,10,Gonzaga,2,Stanford
1998,Second Round,10,West Virginia,2,Cincinnati
1997,Second Round,10,Providence,2,Duke
1994,Second Round,10,Maryland,2,UMass
1990,Second Round,10,Texas,2,Purdue
1987,Second Round,10,LSU,2,Temple
2018,Second Round,9,Florida State,1,Xavier
2013,Second Round,9,Wichita State,1,Gonzaga
2010,Second Round,9,Northern Iowa,1,Kansas
2004,Second Round,9,Alabama-Birmingham,1,Kentucky
1994,Second Round,9,Boston College,1,UNC
