Year,Round,Seed,School,OpponentSeed,Opponent
2022,Regional Semifinal,15,Saint Peter's,3,Purdue
2021,Regional Semifinal,12,Oregon State,8,Loyola (IL)
2002,Regional Semifinal,12,Missouri,8,UCLA
2021,Regional Semifinal,11,UCLA,2,Alabama
2018,Regional Semifinal,11,Loyola (IL),7,Nevada
2017,Regional Semifinal,11,Xavier,2,Arizona
2014,Regional Semifinal,11,Dayton,10,Stanford
2011,Regional Semifinal,11,VCU,10,Florida State
2006,Regional Semifinal,11,George Mason,7,Wichita State
2001,Regional Semifinal,11,Temple,7,Penn State
1990,Regional Semifinal,11,Loyola Marymount,7,Alabama
1986,Regional Semifinal,11,LSU,2,Georgia Tech
2008,Regional Semifinal,10,Davidson,3,Wisconsin
2002,Regional Semifinal,10,Kent State,3,Pitt
1999,Regional Semifinal,10,Gonzaga,6,Florida
1991,Regional Semifinal,10,Temple,3,Oklahoma State
1990,Regional Semifinal,10,Texas,6,Xavier
1987,Regional Semifinal,10,LSU,3,DePaul
2018,Regional Semifinal,9,Florida State,4,Gonzaga
2018,Regional Semifinal,9,Kansas State,5,Kentucky
1994,Regional Semifinal,9,Boston College,5,Indiana
2022,Regional Semifinal,8,North Carolina,4,UCLA
2014,Regional Semifinal,8,Kentucky,4,Louisville
2011,Regional Semifinal,8,Butler,4,Wisconsin
2004,Regional Semifinal,8,Alabama,5,Syracuse
2000,Regional Semifinal,8,UNC,4,Tennessee
2000,Regional Semifinal,8,Wisconsin,4,LSU
1986,Regional Semifinal,8,Auburn,4,UNLV
1985,Regional Semifinal,8,Villanova,5,Maryland
2017,Regional Semifinal,7,South Carolina,3,Baylor
2015,Regional Semifinal,7,Michigan State,3,Oklahoma
2014,Regional Semifinal,7,UConn,3,Iowa State
2012,Regional Semifinal,7,Florida,3,Marquette
2005,Regional Semifinal,7,West Virginia,6,Texas Tech
2004,Regional Semifinal,7,Xavier,3,Texas
2003,Regional Semifinal,7,Michigan State,6,Maryland
2000,Regional Semifinal,7,Tulsa,6,Miami (FL)
1993,Regional Semifinal,7,Temple,3,Vanderbilt
2010,Regional Semifinal,6,Tennessee,2,Ohio State
2001,Regional Semifinal,6,USC,2,Kentucky
1992,Regional Semifinal,6,Michigan,2,Oklahoma State
1990,Regional Semifinal,6,Minnesota,2,Syracuse
1988,Regional Semifinal,6,Villanova,2,Kentucky
1987,Regional Semifinal,6,Providence,2,Alabama
2022,Regional Semifinal,5,Houston,1,Arizona
2019,Regional Semifinal,5,Auburn,1,UNC
2011,Regional Semifinal,5,Arizona,1,Duke
2010,Regional Semifinal,5,Butler,1,Syracuse
2005,Regional Semifinal,5,Michigan State,1,Duke
2002,Regional Semifinal,5,Indiana,1,Duke
2000,Regional Semifinal,5,Florida,1,Duke
1996,Regional Semifinal,5,Mississippi State,1,UConn
1989,Regional Semifinal,5,Virginia,1,Oklahoma
2022,Regional Semifinal,4,Arkansas,1,Gonzaga
2014,Regional Semifinal,4,Michigan State,1,Virginia
2013,Regional Semifinal,4,Michigan,1,Kansas
2013,Regional Semifinal,4,Syracuse,1,Indiana
2012,Regional Semifinal,4,Louisville,1,Michigan State
2011,Regional Semifinal,4,Kentucky,1,Ohio State
2006,Regional Semifinal,4,LSU,1,Duke
2005,Regional Semifinal,4,Louisville,1,Washington
1999,Regional Semifinal,4,Ohio State,1,Auburn
1997,Regional Semifinal,4,Arizona,1,Kansas
1995,Regional Semifinal,4,Oklahoma State,1,Wake Forest
1995,Regional Semifinal,4,Virginia,1,Kansas
1991,Regional Semifinal,4,St. John's (NY),1,Ohio State
1990,Regional Semifinal,4,Georgia Tech,1,Michigan State
1989,Regional Semifinal,4,UNLV,1,Arizona
1988,Regional Semifinal,4,Kansas State,1,Purdue
2019,Regional Semifinal,3,Texas Tech,2,Michigan
2019,Regional Semifinal,3,Purdue,2,Tennessee
2018,Regional Semifinal,3,Texas Tech,2,Purdue
2013,Regional Semifinal,3,Marquette,2,Miami (FL)
2011,Regional Semifinal,3,UConn,2,San Diego State
2009,Regional Semifinal,3,Villanova,2,Duke
2009,Regional Semifinal,3,Missouri,2,Memphis
2008,Regional Semifinal,3,Louisville,2,Tennessee
2005,Regional Semifinal,3,Arizona,2,Oklahoma State
2003,Regional Semifinal,3,Marquette,2,Pitt
1999,Regional Semifinal,3,St. John's (NY),2,Maryland
1998,Regional Semifinal,3,Stanford,2,Purdue
1994,Regional Semifinal,3,Florida,2,UConn
1991,Regional Semifinal,3,Seton Hall,2,Arizona
1991,Regional Semifinal,3,Kansas,2,Indiana
1989,Regional Semifinal,3,Michigan,2,UNC
1989,Regional Semifinal,3,Seton Hall,2,Indiana
