Rk,Year,Region,Round,PTS,OPTS,OT?,Diff,Seed,School,OpponentSeed,Opponent,
1,2021,East,First Round,73,62,,11,11,UCLA,6 ,BYU,
2,2021,West,First Round,62,58,,4,13,Ohio,4 ,Virginia,
3,2021,East,First Round,63,54,,9,10,Maryland,7 ,UConn,
4,2021,East,First Round,53,52,,1,14,Abilene Christian,3 ,Texas,
5,2021,South,First Round,85,62,,23,9 ,Wisconsin,8 ,UNC,
6,2021,Midwest,First Round,78,62,,16,11,Syracuse,6 ,San Diego State,
7,2021,Midwest,First Round,60,56,,4,10,Rutgers,7 ,Clemson,
8,2021,Midwest,First Round,70,56,,14,12,Oregon State,5 ,Tennessee,
9,2021,South,First Round,75,72,OT,3,15,Oral Roberts,2 ,Ohio State,
10,2021,South,First Round,78,69,OT,9,13,North Texas,4 ,Purdue,
11,2019,Midwest,First Round,78,61,,17,9 ,Washington,8 ,Utah State,
12,2019,South,First Round,72,54,,18,12,Oregon,5 ,Wisconsin,
13,2019,South,First Round,95,72,,23,9 ,Oklahoma,8 ,Ole Miss,
14,2019,Midwest,First Round,62,59,,3,11,Ohio State,6 ,Iowa State,
15,2019,East,First Round,80,76,,4,12,Liberty,5 ,Mississippi State,
16,2019,South,First Round,79,72,,7,10,Iowa,7 ,Cincinnati,
17,2019,East,First Round,73,58,,15,9 ,UCF,8 ,VCU,
18,2019,South,First Round,70,64,,6,13,UC-Irvine,4 ,Kansas State,
19,2019,West,First Round,83,64,,19,12,Murray State,5 ,Marquette,
20,2019,East,First Round,86,76,,10,10,Minnesota,7 ,Louisville,
21,2019,West,First Round,70,61,,9,10,Florida,7 ,Nevada,
22,2019,West,First Round,78,69,,9,9 ,Baylor,8 ,Syracuse,
23,2018,Midwest,First Round,57,52,,5,11,Syracuse,6 ,TCU,
24,2018,South,First Round,74,54,,20,16,UMBC,1 ,Virginia,
25,2018,East,First Round,81,75,,6,13,Marshall,4 ,Wichita State,
26,2018,South,First Round,69,59,,10,9 ,Kansas State,8 ,Creighton,
27,2018,West,First Round,67,54,,13,9 ,Florida State,8 ,Missouri,
28,2018,East,First Round,79,62,,17,10,Butler,7 ,Arkansas,
29,2018,South,First Round,64,62,,2,11,Loyola (IL),6 ,Miami (FL),
30,2018,South,First Round,89,68,,21,13,Buffalo,4 ,Arizona,
31,2018,East,First Round,86,83,,3,9 ,Alabama,8 ,Virginia Tech,
32,2017,South,First Round,64,58,,6,10,Wichita State,7 ,Dayton,
33,2017,East,First Round,66,65,,1,11,USC,6 ,SMU,
34,2017,Midwest,First Round,84,72,,12,11,Rhode Island,6 ,Creighton,
35,2017,Midwest,First Round,78,58,,20,9 ,Michigan State,8 ,Miami (FL),
36,2017,West,First Round,76,65,,11,11,Xavier,6 ,Maryland,
37,2017,South,First Round,81,72,,9,12,Middle Tennessee State,5 ,Minnesota,
38,2016,West,First Round,75,67,,8,10, VCU,7 ,Oregon State,
39,2016,Midwest,First Round,70,51,,19,10,Syracuse,7 ,Dayton,
40,2016,East,First Round,70,56,,14,14,Stephen F. Austin,3 ,West Virginia,
41,2016,West,First Round,75,72,,3,11,Northern Iowa,6 ,Texas,
42,2016,Midwest,First Round,90,81,,9,15,Middle Tennessee State,2 ,Michigan State,
43,2016,South,First Round,77,66,,11,13,Hawaii,4 ,California,
44,2016,West,First Round,79,75,,4,12,Yale,5 ,Baylor,
45,2016,South,First Round,65,55,,10,11,Wichita State,6 ,Arizona,
46,2016,East,First Round,70,69,,1,9 ,Providence,8 ,USC,
